"Model Category","Model","Size","Paper","Print Colour","Quantity","Lamination","Colour Protective Layer","WM Price","EM Price"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","1000","Gloss Waterbase Varnish (Both)","N/A","1161.20","1671.20"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","250","Gloss Lamination (Front)","N/A","551.80","721.80"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","250","Gloss Lamination (Both)","N/A","657.30","837.30"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","250","Matte Lamination (Front)","N/A","551.80","721.80"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","250","Matte Lamination (Front) + Spot UV (Front)","N/A","846.35","1016.35"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","250","Matte Lamination (Both)","N/A","657.30","837.30"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","250","Matte Lamination (Both) + Spot UV (Front)","N/A","951.80","1131.80"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","250","Gloss Waterbase Varnish (Front)","N/A","507.95","667.95"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","250","Gloss Waterbase Varnish (Both)","N/A","569.55","729.55"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","300","Gloss Lamination (Front)","N/A","635.00","835.00"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","300","Gloss Lamination (Both)","N/A","747.70","957.70"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","300","Matte Lamination (Front)","N/A","635.00","835.00"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","300","Matte Lamination (Front) + Spot UV (Front)","N/A","942.25","1142.25"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","300","Matte Lamination (Both)","N/A","747.70","957.70"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","300","Matte Lamination (Both) + Spot UV (Front)","N/A","1054.95","1264.95"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","300","Gloss Waterbase Varnish (Front)","N/A","584.65","774.65"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","300","Gloss Waterbase Varnish (Both)","N/A","647.05","837.05"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","350","Gloss Lamination (Front)","N/A","647.35","877.35"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","350","Gloss Lamination (Both)","N/A","756.70","996.70"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","350","Matte Lamination (Front)","N/A","647.35","877.35"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","350","Matte Lamination (Front) + Spot UV (Front)","N/A","939.05","1169.05"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","350","Matte Lamination (Both)","N/A","756.70","996.70"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","350","Matte Lamination (Both) + Spot UV (Front)","N/A","1048.40","1288.40"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","350","Gloss Waterbase Varnish (Front)","N/A","595.60","815.60"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","350","Gloss Waterbase Varnish (Both)","N/A","653.15","873.15"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","400","Gloss Lamination (Front)","N/A","711.55","981.55"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","400","Gloss Lamination (Both)","N/A","827.50","1107.50"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","400","Matte Lamination (Front)","N/A","711.55","981.55"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","400","Matte Lamination (Front) + Spot UV (Front)","N/A","1014.80","1284.80"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","400","Matte Lamination (Both)","N/A","827.50","1107.50"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","400","Matte Lamination (Both) + Spot UV (Front)","N/A","1130.75","1410.75"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","400","Gloss Waterbase Varnish (Front)","N/A","653.85","903.85"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","400","Gloss Waterbase Varnish (Both)","N/A","712.15","962.15"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","450","Gloss Lamination (Front)","N/A","730.00","1030.00"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","450","Gloss Lamination (Both)","N/A","844.60","1154.60"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","450","Matte Lamination (Front)","N/A","730.00","1030.00"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","450","Matte Lamination (Front) + Spot UV (Front)","N/A","1024.55","1324.55"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","450","Matte Lamination (Both)","N/A","844.60","1154.60"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","450","Matte Lamination (Both) + Spot UV (Front)","N/A","1139.20","1449.20"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","450","Gloss Waterbase Varnish (Front)","N/A","670.50","960.50"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","450","Gloss Waterbase Varnish (Both)","N/A","725.70","1015.70"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","500","Gloss Lamination (Front)","N/A","741.00","1071.00"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","500","Gloss Lamination (Both)","N/A","853.45","1203.45"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","500","Matte Lamination (Front)","N/A","741.00","1071.00"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 310gsm (2 side coated)","4C (Front)","500","Matte Lamination (Front) + Spot UV (Front)","N/A","1025.30","1355.30"
